"ImageIndex","Chapter","Map","Source","Destination","SHA256","Status"
"1","1","1","1787760273858_2210334767131197631_g1860709059863148993_3a7f255d3c730d218a0b868a4341dead.jpg","masterdata/chap1/1.jpeg","30FB7B813BD1881B3DC8516922E21340C1A6A4A4A1CCCD13E4C7BCC77152FEB5","added"
"2","1","2","1787760273939_2210334767131197631_g1860709059863148993_c1f3f3586a3da14508bcb8eed8896518.jpg","masterdata/chap1/2.jpeg","D0AFC8D6E20235CC71C8F48E4C296230F4312BD61987FA54937140ADE0C648AC","added"
"3","1","3","1787760274037_2210334767131197631_g1860709059863148993_041a0978b2286bd7d54bed3428d4d38a.jpg","masterdata/chap1/3.jpeg","651AB9DBB07DD129E1258BD01A8F9E77BA7B625C0B8F170A6A9A0B0E7B8E84AC","added"
"4","1","5","1787760274141_2210334767131197631_g1860709059863148993_49648ddd6a8ffe3b48de69c550ae5864.jpg","masterdata/chap1/5.jpeg","F220E1913507EFC80FB786D65DA62973FB0F3C6C0F3273A35DE67E5D84E30E0F","added"
"5","1","6","1787760274240_2210334767131197631_g1860709059863148993_f1043cecbdb635be6a92f75c3eef35cd.jpg","masterdata/chap1/6.jpeg","BE1CF45CFF787D43497B73F29CFDB51590E6646134E855A1DAE2527680270632","added"
"6","1","7","1787760274322_2210334767131197631_g1860709059863148993_3463b348431ad1d398a5d757206784ed.jpg","masterdata/chap1/7.jpeg","0C312B146F9B4DF837FC5BA06BD18BC4B4E1739FDD80684C3B798D24E35A15C8","added"
"7","1","9","1787760274472_2210334767131197631_g1860709059863148993_e66f5d9c9bad027135dfc2b3585fec08.jpg","masterdata/chap1/9.jpeg","8A63F6F62DDB127A4508018550E4439B9811C9730CE177D089D163AD17DA34D3","added"
"8","1","10","1787760274563_2210334767131197631_g1860709059863148993_9a17daa0324231409b39ea1fdb75d305.jpg","masterdata/chap1/10.jpeg","7810EC228C6E49A5D2791E4F79A38907BEFA91D5E3F17F00B09057127F1EE73E","added"
"9","1","11","1787760274662_2210334767131197631_g1860709059863148993_dcaa69df21aa6d206b9074ee9d059015.jpg","masterdata/chap1/11.jpeg","1BB75073F15E0B3E3DEC7E1BA13F844C4F6C8B9D889F888A16C3AEFFC5F20005","added"
"10","1","12","1787760274754_2210334767131197631_g1860709059863148993_eda34489bbe3dfc6e0ddb26c7b825c4b.jpg","masterdata/chap1/12.jpeg","E4BE8DCC39D5566987D06862C705AF40835ED58716B734FD26035C5873FCA270","added"
"11","1","13","1787760274873_2210334767131197631_g1860709059863148993_4e685357bf4a4876e230b1d01c7c5a0f.jpg","masterdata/chap1/13.jpeg","A8282DD0997D4B5D2D4764DEFF11F4BECBC08EC49FC8A831D5891EC7E637E87B","added"
"12","1","14","1787760274972_2210334767131197631_g1860709059863148993_4af1eaba7cc58aba3122ce2da72ed134.jpg","masterdata/chap1/14.jpeg","062D3CC93003B3AD5BCB5EF1FF64114739ED9553D12763E61A079A5027A2627E","added"
"13","1","15","1787760275094_2210334767131197631_g1860709059863148993_0831bc8f2530a9a93b81e2ca1389b1bd.jpg","masterdata/chap1/15.jpeg","1F5935C374DF42C34B65B2FA4F72B4F671486C6004530629B19A9494D4F1A5CF","added"
"14","13","19","1787760275192_2210334767131197631_g1860709059863148993_5ed94427614e3222f9e30fcb7e0bbe5b.jpg","masterdata/chap13/19-2.jpeg","9DF0DA1BF2D38DC30B673C41677BB9CF3B2E9BBBF1AB28E58033163E064E416B","added"
"15","13","33","1787760299657_2210334767131197631_g1860709059863148993_cac57904bb00acb1c36e11adf560f668.jpg","masterdata/chap13/33-2.jpeg","E692FDF6EF909915B575D708C47D3D0C13CB9CA9AC8A6DA93F18B9631462D05C","added"
"16","13","31","1787760299738_2210334767131197631_g1860709059863148993_9d7ffe0a264704642146cc585167c9e0.jpg","masterdata/chap13/31-2.jpeg","2A031761F1D2BB3A8C65D3E1CBCA3A41F0A7E68A65F8D58DF3C94E65EAB512CF","added"
"17","13","51","1787760299873_2210334767131197631_g1860709059863148993_347e213ff7f9c54fff9caf609960fe33.jpg","masterdata/chap13/51-2.jpeg","2144CE3239484C9B5DE33BDC5BF9753EDAD7A3701A12AE568C98F81F63A3327B","added"
"18","1","68","1787760299947_2210334767131197631_g1860709059863148993_ba42cf0b782796414d78460d98fdfd1f.jpg","masterdata/chap1/68.jpeg","B09299434F9B18D10D46068155A5B437F6929EEF694518EB1C55DDB7E184C2FF","added"
"19","1","69","1787760300069_2210334767131197631_g1860709059863148993_5ac3738f91637fec13411521077f5ec1.jpg","masterdata/chap1/69.jpeg","B2288715271295D443C000B4258F595CCFD559F36E8888398DD2E75BBF729548","added"
"20","1","70","1787760300153_2210334767131197631_g1860709059863148993_8a5067ddd316792da5b9d81a49dcef39.jpg","masterdata/chap1/70.jpeg","A71757ABE2B69D63CBEA2054D5BF25BF1929206CB8E4B85E75E62EE855B45CEF","added"
"21","1","72","1787760300241_2210334767131197631_g1860709059863148993_50d852e1bdda41bb619d6c2eb6216f38.jpg","masterdata/chap1/72.jpeg","F05C3F471300DC6BF45A8A0344134A94F85A94CEE47E7476E6B61C359EB853DD","added"
"22","1","71","1787760300333_2210334767131197631_g1860709059863148993_52012ec097220423a439708f61c81be0.jpg","masterdata/chap1/71.jpeg","6C401842189E88A2429E309E1590B5A5287F9260C091087A98D5740D171E0B42","added"
"23","1","73","1787760300425_2210334767131197631_g1860709059863148993_4de0bd27cb0d41d1109e5a63271ee682.jpg","masterdata/chap1/73.jpeg","3CFDFAEBA82C59C167C9603B8DDF9B4EE93AD429F6F6DB10CAAFC88E65AE5817","added"
"24","1","75","1787760300507_2210334767131197631_g1860709059863148993_551b1f0940393d16302b442d455f961e.jpg","masterdata/chap1/75.jpeg","4808A8446A217820EE1AEDEDEE631F1FEB821EE96A6F0AA2345C111FC455BA75","added"
"25","1","76","1787760300619_2210334767131197631_g1860709059863148993_ba52d0596b2124bd0017a221af0b82d3.jpg","masterdata/chap1/76.jpeg","2A882A1B99EBEA34AE275E6B0CF4D9781E9BFFF0C88EF517CA259C8382B44D35","added"
"26","1","77","1787760300699_2210334767131197631_g1860709059863148993_b95220c922e88280658b9dbda83416dc.jpg","masterdata/chap1/77.jpeg","C48C3896E7F6BBC8469D9B3AB78EBEAAE1290BDA2EB1DDACE1F29DEA2A50167C","added"
"27","1","78","1787760300815_2210334767131197631_g1860709059863148993_cbf070b8347362f845900955894f9b5c.jpg","masterdata/chap1/78.jpeg","52C252EE0D7E0134F910EC240EB05E1B990210E771161DA906FEFDBEE4F64234","added"
"28","1","79","1787760300891_2210334767131197631_g1860709059863148993_55a8c05af3660f8da0a5cdf3ecf243af.jpg","masterdata/chap1/79.jpeg","0906FC0302B0B7D8CE911B40F3574B436A110ABEB7A41EB7C5DAA3633B815EC1","added"
"29","1","81","1787760327514_2210334767131197631_g1860709059863148993_5fa9e1fd9627214eb7c6af1206831ed2.jpg","masterdata/chap1/81.jpeg","98C3301EEE79E98A51092BFC51C2730ED7E50FEBD55FF2D4B4F7211A004D18EB","added"
"30","1","80","1787760327591_2210334767131197631_g1860709059863148993_48607f77d6cf124d8491016bd583e962.jpg","masterdata/chap1/80.jpeg","A6EAE953314084D5D9518CB7E97A4AEF191F96C6F1DA50499C7C4D90065C6EF9","added"
"31","1","82","1787760327709_2210334767131197631_g1860709059863148993_34d4cc5806bb3c694c85e99db1ca4e10.jpg","masterdata/chap1/82.jpeg","CCB19A06014D415AE2170097D1047BF9A08A245AE93A6114E62B114ADD90B366","added"
"32","1","83","1787760327793_2210334767131197631_g1860709059863148993_99ddf0de9fd20a234fb458d0c41f6fbe.jpg","masterdata/chap1/83.jpeg","4946E9BDCF9AB28D81E04744C1B71373014EF3EBCC361525EA45DEDD81B7FDB7","added"
"33","1","84","1787760327892_2210334767131197631_g1860709059863148993_4236812a33122bb606db171cadd9186c.jpg","masterdata/chap1/84.jpeg","FC19F35725F36948AB84C4EBD161CE797C035275F311C85C5D600FB3A22A9ECF","added"
"34","1","85","1787760327969_2210334767131197631_g1860709059863148993_5c1684d77d3ddaca154305c702f563df.jpg","masterdata/chap1/85.jpeg","2BF2E60549148BC4C78B433928AEC9046E8E2CE0CB03992AF99805C6C4D6ADF5","added"
"35","1","87","1787760328052_2210334767131197631_g1860709059863148993_2b67c6b8c98a07bec951b2d78d58cebf.jpg","masterdata/chap1/87.jpeg","4758EAB35119210B9CC674E65E3085906DA91022781DDED9572D4AC623AF03FD","added"
"36","1","88","1787760328139_2210334767131197631_g1860709059863148993_a683f369f63663d2544a41bc6b544b0b.jpg","masterdata/chap1/88.jpeg","C3CBB879FCA447541B272B1153CB81F84E439644BDC2BF27D4DC77240F9690E8","added"
"37","1","89","1787760328231_2210334767131197631_g1860709059863148993_48afa92f3dbb914f9c0b00162f2dd69a.jpg","masterdata/chap1/89.jpeg","1B1FCF34E68732762ECB226AC3A1DFA195BB0F3F309D6B2D4D17D88036D39D26","added"
"38","1","90","1787760328314_2210334767131197631_g1860709059863148993_a04b5208fc34ca403b05adcefc188351.jpg","masterdata/chap1/90.jpeg","DD0262C3456EA56B2F59D02C53BF60A193F1EFB77FF0316F371A50DCC575028B","added"
"39","1","91","1787760328403_2210334767131197631_g1860709059863148993_2029f7fdf0aa8f8f86f86db833e2bcdd.jpg","masterdata/chap1/91.jpeg","B22893188C949BFB4D1C2539FEE31B2329FAC1F841C90FDB2E2DFD72EB87AD1D","added"
"40","1","92","1787760328490_2210334767131197631_g1860709059863148993_decf9909140cfb3be010c12741d30a08.jpg","masterdata/chap1/92.jpeg","09076266D81F1B412D85D53CDEB609FD5C9030BAA3E979C5AC3C10116B8F6B76","added"
"41","1","93","1787760328589_2210334767131197631_g1860709059863148993_121f7083e2b44bc8d6faa3b39b19efdf.jpg","masterdata/chap1/93.jpeg","8E02F1678EBDB9E4C8624D1D2D5A3BB3036C0A000A8108F3EB07B007214905D0","added"
"42","1","94","1787760328669_2210334767131197631_g1860709059863148993_7fcf7cbc12e8834121a6d1283b38f881.jpg","masterdata/chap1/94.jpeg","6AA43C3A8602817E3CD1AD4F0E2767A4F1E31F597CB8A26F308D27C041310D58","added"
"43","1","95","1787760328749_2210334767131197631_g1860709059863148993_78a4506bae27cc50729e2a9be425978f.jpg","masterdata/chap1/95.jpeg","CF0AD844132DFB7E9EE80B85CF0F555CAB1C5B6B0000418053D34BA1DF7C2AE6","added"
"44","1","96","1787760328848_2210334767131197631_g1860709059863148993_ef6363ea9a1ce681aaf958a6815ba17f.jpg","masterdata/chap1/96.jpeg","13DC7B7462E96420C3F25BD82E42E3511B7A41E6F08AAFAF5B604C1283D6F824","added"
"45","1","97","1787760328954_2210334767131197631_g1860709059863148993_120fed6b532c874f044c4fee0e120996.jpg","masterdata/chap1/97.jpeg","D9D0CAB62F66C3592B6B9F1E8EEB9F5FABD8C0D0CC7386A9B4A1181B65B73507","added"
"46","1","98","1787760329038_2210334767131197631_g1860709059863148993_4864a3b698f1fb84151b76a232ade5ec.jpg","masterdata/chap1/98.jpeg","6B262CDDB275B861A23AC57B1E121E1821C5279649C04F5A9ACA8A01D494640E","added"
"47","1","99","1787760329142_2210334767131197631_g1860709059863148993_ba124eedf6c44a7ad4a1e0900366878d.jpg","masterdata/chap1/99.jpeg","FDA4632587DFC7128B7C4CC0B2B48D6C24AC850208645E9994FC044A439D35FE","added"
"48","1","100","1787760347581_2210334767131197631_g1860709059863148993_3b618ab539c151b1f863212ac92e57e9.jpg","masterdata/chap1/100.jpeg","583C61D5015E485DD389933A8C983ABE8C7136E64C854C87BE5B4625CD87409E","added"
"49","1","101","1787760347645_2210334767131197631_g1860709059863148993_124cb7a76040c4e6c67df08ff212d554.jpg","masterdata/chap1/101.jpeg","17F368119C0143318C743647EE50D21F6945E9F67AF5513D9137693507FC6874","added"
"50","1","106","1787760347752_2210334767131197631_g1860709059863148993_2bf7dbe682f23ea4ab8649ca6a57565a.jpg","masterdata/chap1/106.jpeg","144B6544133133BF275F12B16C58DC9A0A41AB6DDE0B0920B4225778FDED1BC6","added"
"51","1","108","1787760347848_2210334767131197631_g1860709059863148993_782620f61ee0cec7378db55b5922d11f.jpg","masterdata/chap1/108.jpeg","B8ECB9E67648BC1CF2A1B9851A447A2766FF3D0435541D34E32B0D87F036CAFC","added"
